Athlete,Rating,Number Of Races
"Cheruiyot, Timothy",1712.5573124899609,26
"Ingebrigtsen, Jakob",1596.553804923893,15
"Makhloufi, Taofik",1589.2064363458874,11
"Lewandowski, Marcin",1579.0401277750207,15
"Wightman, Jake",1565.0045503068263,13
"Centrowitz, Matthew",1563.0685488789609,14
"Kwemoi, Ronald",1559.0054561971574,12
"Manangoi, Elijah",1556.9427395625867,21
"Engels, Craig",1555.0816739166848,7
"Tefera, Samuel",1551.4120717471055,13
"Kerr, Josh",1546.7949467418407,5
"Souleiman, Ayanleh",1541.8719508031259,23
"Berglund, Kalle",1539.8910001290965,10
"Gourley, Neil",1536.992088590464,6
"Hiss Bachir, Youssouf",1535.331822328495,4
"Ingebrigtsen, Filip",1532.0112384579074,24
"Musagala, Ronald",1530.8141544360888,12
"McSweyn, Stewart",1525.021725474029,7
"Kiprop, Asbel",1515.6739521241102,16
"Akankam, Hicham",1511.3610554420948,2
"Kaazouzi, Brahim",1509.2901753900392,7
"Brannen, Nathan",1508.6157999582551,4
"Miellet, Alexis",1508.3061661076954,5
"Kimeli, Isaac",1507.3504178300645,3
"O'Hare, Chris",1507.1938190731607,16
"Andrews, Robby",1506.4143707360033,5
"Kiplagat, Silas",1505.9389829274314,13
"Kibet, Vincent",1504.199219047015,23
"Gomez, Jesus",1503.1320478892872,3
"Chelimo, Paul",1503.0056064502605,1
"Mikhou, Sadik",1502.757289349839,7
"Grice, Charles",1502.2038166531706,10
"Tuwei, Cornelius",1501.9642999759535,1
"Farah, Mo",1500.523406603927,1
"Bustos, David",1500.5009092405096,4
"Mekhissi, Mahiedine",1500.3629151234068,1
"Ahmed, Mohammed",1499.8829391414988,1
"Bruno, Federico",1499.3523243064278,1
"Casey, Patrick",1499.335268331396,1
"Emanuel, Lee",1499.2737250160903,1
"Essalhi, Younés",1499.2652815019346,1
"Biwott, Robert",1499.226895079758,6
"Moukrime, Tarik",1499.0207896220802,1
"Grice, Charlie",1498.942067540264,3
"Magut, James",1498.8442026841792,2
