Athlete,Rating
"Ayana, Almaz",1612.1841954685824
"Cheruiyot, Vivian",1608.068039621037
"Obiri, Hellen",1591.7725176371357
"Cherono, Mercy",1558.5234236767462
"Teferi, Senbere",1549.4850927556356
"Can, Yasemin",1533.0548274220596
"Kuijken, Susan",1529.4304445883768
"Grovdal, Karoline",1528.5900732388582
"Heiner, Madeline",1526.9225693294343
"Houlihan, Shelby",1525.8467053409681
"Wellings, Eloise",1525.1640257837757
"LaCaze, Genevieve",1523.68675695805
"McColgan, Eilish",1521.1471839847177
"Uehara, Miyuki",1520.3960829419098
"Kibiwot, Viola",1520.3676251716952
"Yeshaneh, Ababel",1517.6957038012335
"Diro Neda, Etenesh",1507.5968735623023
"Dibaba, Genzebe",1504.0264643276587
"Rowbury, Shannon",1503.7570939712643
"Nawowuna, Alice",1502.061701397969
"Kipkemboi, Margaret",1500.1127351537928
"Kisa, Janet",1498.2891968263202
"Tirop, Agnes",1497.7453521630703
"Oljira, Belaynesh",1495.066149591485
"Hills, Madeline",1494.274441885041
"Busienei, Selah",1493.785708393114
"Sifuentes, Nicole",1493.710579421308
"Cheptai, Irene",1493.6723846006794
"Mackey, Katie",1493.307921549356
"Gashaw, Tigist",1493.1445925693013
"Scott, Dominique",1492.9231665390053
"Lacaze, Genevieve",1492.6684790395902
"Kipyego, Sally",1492.6242431814362
"Hawi, Alemitu",1492.4429995560276
"Grunewald, Gabriele",1492.0262683077735
"Alemu, Birtukan",1491.8038099135542
"Saina, Betsy",1491.7506776873424
"Tesfaye, Haftamnesh",1491.7405892072832
"Yalew, Genet",1491.6946088757286
"Efraimson, Alexa",1491.1535220597884
"Clarke, Rosie",1491.137392900148
"Napieraj, Dominika",1490.884341811694
"Andrews, Jessica",1490.0319218250115
"Huddle, Molly",1489.6723939330454
"Pavey, Joanne",1489.1665005956188
"Gebreslase, Gotytom",1489.06973542889
"Dida, Dera",1488.7923391381846
"Gidey, Letesenbet",1488.266160667534
"Byrne, Deirdre",1488.1843774075978
"Bahta, Meraf",1487.5527965957249
"Hall, Marielle",1486.9438673794448
"Clayton, Emma",1486.8729695516154
"Lewetegn, Sentayehu",1486.7353870283791
"Burka, Gelete",1486.2131860496795
"Haroye, Alemitu",1486.1649174055149
"Hamblin, Nikki",1485.716418055033
"Akda, Meryem",1484.935437479207
"Tully, Nicole",1484.683671944625
"Buscomb, Camille",1484.4301649191211
"Kudzelich, Sviatlana",1483.7312569492437
"Suzuki, Ayuko",1473.341476486817
"Chesang, Stella",1472.9549317021338
"Oliver, Lucy",1472.8165565377674
"Firisua, Sharon",1472.4357865196507
"Seccafien, Andrea",1472.3623622137561
"O'Connell, Jessica",1471.4689704937132
"Alice, Beatrice",1469.8894445801302
"Belete, Mimi",1468.3521161540193
"Wenth, Jennifer",1468.1681685356448
"Carton, Louise",1465.9282365729468
"Conley, Kim",1465.241272397117
"Onishi, Misaki",1462.3468893933373
"Whittle, Laura",1456.3830088469729
"Twell, Stephanie",1433.3576514542256
"Chekwel, Juliet",1420.653063546046
