Athlete,Rating,Number Of Races
Mo FARAH,1587.4938167916616,3
Ibrahim JEILAN,1534.6874209629036,1
Galen RUPP,1533.251697855585,3
Emmanuel Kipkemei BETT,1528.6317499829609,2
Kenenisa BEKELE,1522.7301508023852,2
Tariku BEKELE,1519.0439925539267,1
Vincent Kiprop CHEPKOK,1510.7000323878701,1
Imane MERGA,1509.2987821323818,3
Bedan KAROKI,1507.736580746944,1
Zersenay TADESE,1507.7232898921366,3
Kenneth Kiprop KIPKEMOI,1504.7774395942222,1
Lucas Kimeli ROTICH,1503.430695307733,2
Yigrem DEMELASH,1501.7367812911043,1
Martin Irungu MATHATHI,1501.3391649783198,1
Gebregziabher GEBREMARIAM,1500.4853119702561,1
Peter Cheruiyot KIRUI,1499.7248278228099,1
Teklemariam MEDHIN,1499.7093123280952,2
Mathew Kipkoech KISORIO,1499.5785626351408,1
Polat Kemboi ARIKAN,1499.1821428717726,1
Mark Kosgei KIPTOO,1499.1108885464453,1
Eliud KIPCHOGE,1498.975618881785,1
Leonard Patrick KOMON,1498.715540988212,2
Paul Kipngetich TANUI,1498.554376523422,2
Geoffrey KAMWOROR,1498.3890932278982,1
Moses Ndiema KIPSIRO,1498.0842517505212,1
Sileshi SIHINE,1497.7695773405585,2
John Kemboi CHERUIYOT,1497.5295019095252,1
Titus Kipjumba MBISHEI,1497.4418561560437,1
Cameron LEVINS,1497.1305281143186,1
Paul LONYANGATA,1496.7670776053924,1
Isiah Kiplangat KOECH,1496.7573182091455,1
Ayele ABSHERO,1496.169497442816,1
Chesari Kirui JACOB,1495.863444395034,1
Dathan RITZENHEIN,1495.5912714411706,1
Rui SILVA,1495.3929807525674,1
Robert KAJUGA,1494.9476502190782,1
Moses Ndiema MASAI,1494.8002024714965,2
Nguse AMLOSOM,1494.3294116573538,1
Stephen MOKOKA,1493.9274284917005,1
Thomas AYEKO,1493.7312252323154,1
Geoffrey KIRUI,1493.3406744325994,2
Moukhled AL OUTAIBI,1493.1370080656689,1
Scott BAUHS,1493.017244961922,1
Kaan Kigen ÖZBILEN,1492.6895340384958,3
Mohammed AHMED,1492.5133914304165,1
Ben ST. LAWRENCE,1491.2570264312176,1
Diego ESTRADA,1490.5339441731862,1
Josphat Kipkoech BETT,1489.6554126350848,3
Juan Carlos ROMERO BERNAL,1489.3426974566198,1
Ayad LAMDASSEM,1488.8094343761954,1
Matt TEGENKAMP,1488.6442777967864,2
Daniel Lemashon SALEL,1488.0861275328966,2
Abera KUMA,1487.204015039783,2
Dennis MASAI,1486.0805333256537,3
Chris THOMPSON,1486.0100112412883,1
Daniele MEUCCI,1483.0857768775668,2
Yuki SATO,1482.705502133465,2
Mykola LABOVSKIY,1482.6468937861423,1
