Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Justin GATLIN,1662.9234591629836,38,2016,USA,10-Feb-82
Usain BOLT,1661.2479213574425,30,2016,JAM,21-Aug-86
Asafa POWELL,1583.5982460365904,32,2016,JAM,23-Nov-82
André DE GRASSE,1570.0530006150086,8,2016,CAN,10-Nov-94
Yohan BLAKE,1563.0004153372058,22,2016,JAM,26-Dec-89
Ben Youssef MEITÉ,1557.3984637311696,12,2016,CIV,11-Nov-86
Jimmy VICAUT,1556.3225967600983,37,2016,FRA,27-Feb-92
Akani SIMBINE,1552.8232142895288,13,2016,RSA,21-Sep-93
Tyson GAY,1547.3151091165669,22,2016,USA,9-Aug-82
Jak Ali HARVEY,1544.5978152419252,11,2016,JAM,4-May-89
Trayvon BROMELL,1525.7944711412574,6,2016,USA,10-Jul-95
Marvin BRACY,1523.0467234004195,7,2016,USA,15-Dec-93
Kemar BAILEY-COLE,1522.6563994181975,21,2015,JAM,10-Jan-92
Christophe LEMAITRE,1520.150102121243,22,2016,FRA,11-Jun-90
Daniel BAILEY,1519.8820144903455,17,2016,ANT,9-Sep-86
Michael RODGERS,1518.655195026165,57,2016,USA,24-Apr-85
Femi OGUNODE,1517.0008929438568,8,2016,QAT,15-May-91
Ryota YAMAGATA,1516.2837633897611,5,2016,JPN,10-Jun-92
Nesta CARTER,1514.5150639187727,54,2015,JAM,11-Oct-85
Bingtian SU,1513.2025645233512,12,2016,CHN,29-Aug-89
Kemarley BROWN,1509.6818814342437,2,2016,BRN,20-Jul-92
Nickel ASHMEADE,1508.3390665927918,20,2016,JAM,7-Apr-90
Ameer WEBB,1508.2792525100826,3,2016,USA,19-Mar-91
Rondel SORRILLO,1505.4484148058464,4,2016,TTO,21-Jan-86
Andrew FISHER,1504.9343291303258,2,2016,JAM,15-Dec-91
Steve MULLINGS,1503.4980540938986,2,2011,JAM,29-Nov-82
Seye OGUNLEWE,1503.4101609956592,1,2016,NGR,30-Aug-91
Chijindu UJAH,1502.8424916327576,19,2016,GBR,5-Mar-94
Churandy MARTINA,1502.493210620645,26,2016,AHO,3-Jul-84
Anaso JOBODWANA,1502.34111529559,2,2013,RSA,30-Jul-92
Rakieem SALAAM,1502.2999036634478,5,2013,USA,5-Apr-90
Joel FEARON,1501.6187144194162,3,2016,GBR,11-Oct-88
Yoshihide KIRYU,1501.4235425057595,3,2016,JPN,15-Dec-95
Jeff DEMPS,1501.4000287902913,1,2013,USA,8-Jan-90
Dentarius LOCKE,1501.3215685013442,3,2016,USA,12-Dec-89
Ramon GITTENS,1500.8608797229413,9,2016,BAR,20-Jul-87
Kei TAKASE,1500.8252424744205,1,2015,JPN,25-Nov-88
Michael FRATER,1500.7148824058456,21,2016,JAM,6-Oct-82
Aaron BROWN,1500.6583327015815,6,2016,CAN,27-May-92
Walter DIX,1500.6022308896268,8,2013,USA,31-Jan-86
Lerone CLARKE,1500.5694840481005,10,2012,JAM,7-Jul-81
Derrick ATKINS,1500.4101233646106,4,2013,BAH,5-Jan-84
Amr Ibrahim Mostafa SEOUD,1500.1706817771794,1,2012,EGY,10-Jun-86
Ngonidzashe MAKUSHA,1500.1575659742834,2,2011,ZIM,11-Mar-87
Adam HARRIS,1500.0113870591654,1,2013,GUY,21-Jul-87
Wallace SPEARMON,1499.9722463866124,2,2010,USA,24-Dec-84
Sam EFFAH,1499.9122386956951,1,2013,CAN,29-Dec-88
Yancarlos MARTÍNEZ,1499.8684408358267,1,2015,DOM,8-Jul-92
Dariusz KUĆ,1499.864178753588,3,2012,POL,24-Apr-86
Remaldo ROSE,1499.8561847292458,1,2011,JAM,18-Nov-87
Warren FRASER,1499.8391434631017,1,2012,BAH,8-Jul-91
Jason SMYTH,1499.7880378656907,1,2011,IRL,4-Jul-87
Nick SMITH,1499.7661695688862,1,2010,GBR,6-Dec-82
Carlos Rafael JORGE,1499.7656824853839,1,2011,DOM,24-Sep-86
Omar Jouma Bilal AL SALFA,1499.7516429338875,1,2010,UAE,15-Oct-89
Shawn CRAWFORD,1499.751229307497,1,2010,USA,14-Jan-78
Brian DZINGAI,1499.7337420686192,1,2010,ZIM,29-Apr-81
Leroy DIXON,1499.722681763962,2,2010,USA,20-Jun-83
Sven KNIPPHALS,1499.7145365237689,1,2015,GER,20-Sep-85
Dexter LEE,1499.6669517438006,1,2010,JAM,18-Jan-91
Brendan CHRISTIAN,1499.6427542792321,1,2010,ANT,11-Dec-83
Reto Amaru SCHENKEL,1499.6243305381422,2,2011,SUI,28-Apr-88
Roberto DONATI,1499.5800959999997,1,2010,ITA,15-Mar-83
Joshua ROSS,1499.5337876711023,1,2013,AUS,9-Feb-81
Simone COLLIO,1499.5084154998003,2,2010,ITA,27-Dec-79
Aaron ARMSTRONG,1499.4963800618689,2,2011,TTO,14-Oct-77
Yahya Hassan HABEEB,1499.4794602599172,1,2010,KSA,2-Apr-86
Kimmari ROACH,1499.4784722022573,3,2013,JAM,17-Apr-89
Tony DARKWAH,1499.4763879386041,1,2010,SWE,15-Jun-86
Tyron AKINS,1499.4675863052935,1,2010,USA,6-Jan-86
Junior EJEHU,1499.4641447708723,1,2010,GBR,1-Feb-91
Francis OBIKWELU,1499.4572019714362,1,2011,POR,22-Nov-78
Philip Bjørnå BERNTSEN,1499.4546584404036,1,2010,NOR,13-Dec-89
Alexander NORDKVIST,1499.452448158458,1,2010,SWE,15-Jun-90
J-Mee SAMUELS,1499.4230836791362,3,2011,USA,20-May-87
Felix GÖLTL,1499.4208128640948,1,2011,GER,23-Mar-90
Ryan MOSELEY,1499.4142309498877,2,2010,AUT,8-Oct-82
Yi LAO,1499.4001288577424,1,2011,CHN,11-Oct-85
Ronalds ARAJS,1499.3796756948675,1,2011,LAT,29-Nov-87
Ronald POGNON,1499.3575428533152,2,2010,FRA,16-Nov-82
Joseph Obinna METU,1499.298064555458,1,2012,NGR,12-Jul-88
Alvaro GOMEZ,1499.2926346402166,1,2011,COL,21-Feb-89
Shinji TAKAHIRA,1499.1487040355523,1,2011,JPN,18-Jul-84
Rytis SAKALAUSKAS,1499.1408801383004,2,2012,LTU,27-Jun-87
Aziz ZAKARI,1499.1210544442085,1,2011,GHA,2-Sep-76
Dwain CHAMBERS,1499.1090098700652,8,2014,GBR,5-Apr-78
Tremayne GILLING,1499.100641151675,2,2010,GBR,27-Jul-90
Abdourahim HAROUN,1499.0952500222534,1,2011,CHA,12-Apr-92
Mario FORSYTHE,1499.0915416417283,9,2012,JAM,30-Oct-85
Rikki FIFTON,1499.0791142102435,1,2011,GBR,17-Jun-85
Julian FORTE,1499.0722202088778,7,2016,JAM,7-Jan-93
Cordero GRAY,1499.0572622698137,1,2013,USA,9-May-89
Chi Ho TSUI,1499.045374108961,1,2011,HKG,17-Feb-90
Ryan BAILEY,1499.0435105997317,18,2015,USA,13-Apr-89
Ivory WILLIAMS,1499.0428605978004,2,2011,USA,2-May-85
Geronimo GOELOE,1499.018374766673,1,2011,ARU,18-Nov-81
Gerald PHIRI,1499.0077100131193,11,2016,ZAM,6-Oct-88
Keiron ROGERS,1499.0034711798019,1,2011,AIA,8-Sep-88
Peter EMELIEZE,1499.0006765004832,2,2012,NGR,19-Apr-88
Rae Monzavous EDWARDS,1498.9785132967017,6,2011,USA,7-May-81
Ainsley WAUGH,1498.958521996764,2,2012,JAM,17-Sep-81
Nilson Andre DE OLIVEIRA,1498.9504699736203,2,2012,BRA,30-Jan-86
Christian MALCOLM,1498.8946460798045,2,2011,GBR,3-Jun-79
Miguel LOPEZ,1498.8575880916037,1,2012,PUR,9-Apr-90
Kenroy ANDERSON,1498.751833354922,1,2012,JAM,27-Jun-87
Masashi ERIGUCHI,1498.7454495162174,1,2012,JPN,17-Dec-88
Moudjib TOYB,1498.7164392213765,1,2011,COM,14-Oct-88
Nil DE OLIVEIRA,1498.6870359371212,1,2012,SWE,3-Sep-86
Tilak Ram THARU,1498.6622063769028,1,2011,NEP,10-Apr-93
Craig PICKERING,1498.6579620218308,3,2011,GBR,16-Oct-86
Fabio CERUTTI,1498.646624122911,1,2012,ITA,26-Sep-85
Martin KELLER,1498.6325033084224,1,2013,GER,26-Sep-86
Ramone MCKENZIE,1498.6317240337162,1,2012,JAM,15-Nov-90
Mohd FADLIN,1498.619513938398,1,2011,INA,28-Oct-89
Dmitriy ILYIN,1498.6067394353656,1,2011,KGZ,24-May-89
Michael TUMI,1498.5471894949205,1,2013,ITA,12-Feb-90
Samuel FRANCIS,1498.5414476819014,3,2013,QAT,27-Mar-87
Darvis PATTON,1498.5231561396824,6,2012,USA,4-Dec-77
Simeon WILLIAMSON,1498.497602588317,1,2012,GBR,16-Jan-86
Adam GEMILI,1498.4335741141458,11,2016,GBR,6-Oct-93
Martial MBANDJOCK,1498.3782216796803,6,2011,FRA,14-Oct-85
Terrell WILKS,1498.3764342328718,1,2013,USA,30-Dec-89
Emmanuel CALLENDER,1498.3341047227236,2,2012,TTO,10-May-84
Béranger BOSSÉ,1498.3149407414498,1,2012,CAF,9-Mar-85
Paul Kim WILLIAMS,1498.2713864000957,1,2012,USA,5-Apr-86
Maurice MITCHELL,1498.2509834454027,2,2014,USA,22-Dec-89
Ángel David RODRÍGUEZ,1498.240680265872,4,2013,ESP,25-Apr-80
Travis PADGETT,1498.2337968881777,8,2012,USA,13-Dec-86
Isidro MONTOYA,1498.1779131580781,1,2012,COL,3-Nov-90
