Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Jairus Kipchoge BIRECH,1651.5894565782405,22,2014,KEN,14-Dec-92
Ezekiel KEMBOI,1590.758926946954,20,2014,KEN,25-May-82
Conseslus KIPRUTO,1568.229849644038,15,2014,KEN,8-Dec-94
Mahiedine MEKHISSI,1556.7151397718235,15,2014,FRA,15-Mar-85
Hillary Kipsang YEGO,1541.8396956447345,20,2014,KEN,2-Apr-92
Brimin Kiprop KIPRUTO,1541.7884160523854,27,2014,KEN,31-Jul-85
Evan JAGER,1536.6048640739627,9,2014,USA,8-Mar-89
Paul Kipsiele KOECH,1530.330335601915,34,2014,KEN,10-Nov-81
Jonathan Muia NDIKU,1508.867578591979,7,2014,KEN,18-Sep-91
Barnabas KIPYEGO,1507.0492196301693,2,2014,KEN,12-Jun-95
Bouabdellah TAHRI,1506.4703930711537,4,2011,FRA,20-Dec-78
Willy Rutto KOMEN,1505.7138546430365,1,2011,KEN,22-Dec-87
Gilbert KIRUI,1504.5524711426501,11,2014,KEN,22-Jan-94
Abel Kiprop MUTAI,1503.4207589294238,17,2014,KEN,2-Oct-88
De'Sean TURNER,1501.6731375721636,2,2013,USA,16-Sep-88
Haron LAGAT,1501.5037973415015,2,2014,KEN,15-Aug-83
Brian OLINGER,1501.4538489349497,2,2011,USA,2-Jun-83
Linus Kipwambok CHUMBA,1501.417964760367,5,2011,KEN,9-Feb-80
Hamid EZZINE,1501.350715865234,10,2014,MAR,5-Oct-83
Matthew HUGHES,1501.0892487207402,9,2014,CAN,3-Aug-89
Donald CABRAL,1500.0511409471517,5,2014,USA,12-Dec-89
Saif Saaeed SHAHEEN,1499.9451227769846,1,2010,QAT,15-Oct-82
Albert Kiptoo YATOR,1499.9226019277176,1,2010,KEN,6-Sep-93
Roba GARI,1499.6472619990516,17,2013,ETH,12-Apr-82
Abdelmadjed TOUIL,1499.634737755914,1,2013,ALG,11-Feb-89
Anthony FAMIGLIETTI,1499.5593652394837,1,2010,USA,8-Nov-78
Michael KIPYEGO,1499.4883219234096,4,2010,KEN,2-Oct-83
Bisluke Kipkorir KIPLAGAT,1499.4881111588993,1,2010,KEN,8-Aug-88
Patrick Kipyegon TERER,1499.3192289899064,1,2010,KEN,6-Jul-89
Lawrence Kemboi KIPSANG,1499.3177253422714,3,2014,KEN,15-Jun-93
Wesley KIPROTICH,1499.1613582273833,1,2010,KEN,1-Aug-79
Hichem BOUCHICHA,1499.0971384042018,1,2013,ALG,19-May-89
Richard Kipkemboi MATEELONG,1499.0376122545297,13,2013,KEN,14-Oct-83
Mário TEIXEIRA,1498.9547165435065,1,2010,POR,20-Sep-74
Nouredine SMAIL,1498.8658480706513,3,2013,FRA,6-Feb-87
Clement Kimutai KEMBOI,1498.8123423803117,3,2014,KEN,10-Feb-92
Nordine GEZZAR,1498.7920226454987,2,2011,FRA,17-Feb-80
Rabie MAKHLOUFI,1498.730959566904,1,2010,ALG,11-Nov-86
Irba LAKHAL,1498.7281329049933,1,2010,FRA,12-Dec-75
Scott MACPHERSON,1498.6595189836844,1,2010,USA,27-Feb-87
Hubert POKROP,1498.6098139055248,1,2011,POL,2-Nov-85
Yang LE,1498.3920440484046,1,2011,CHN,9-Apr-87
Birhan GETAHUN,1498.340180636397,1,2012,ETH,5-Sep-91
Mohamed-Khaled BELABBAS,1498.3037857353454,4,2012,FRA,4-Jul-81
Mustafa MOHAMED,1498.2625133225606,2,2010,SWE,1-Mar-79
Łukasz OSLIZLO,1498.2404519921452,1,2012,POL,14-May-89
Andrew POORE,1498.0027556106488,1,2013,USA,3-Dec-88
Amor BEN YAHIA,1497.9599358214932,2,2012,TUN,1-Jul-85
Xiangqian LIN,1497.939557638898,1,2011,CHN,27-Jan-87
Nelson KIPKOGEI,1497.8085583398993,1,2012,KEN,9-Mar-93
Tomas TAJADURA JUEZ,1497.5573012887012,1,2011,ESP,25-Jun-85
Nikolay CHAVKIN,1497.5258565970441,2,2012,RUS,24-Apr-84
Abraham CHIRCHIR,1497.3839479473306,3,2011,KEN,1-Aug-80
Rob MULLETT,1497.296921478743,1,2012,GBR,31-Jul-87
Víctor GARCÍA,1497.2790984170845,3,2014,ESP,13-Mar-85
Abdelkader HACHLAF,1497.215485557434,1,2011,MAR,3-Jul-79
Abdelhakim ZILALI,1497.1315286962035,2,2011,FRA,20-Jun-83
Timothy TOROITICH,1496.8451903944695,1,2013,UGA,10-Oct-91
Simon AYEKO,1496.514192731728,3,2012,UGA,10-May-87
Brahim TALEB,1496.3898315928209,7,2014,MAR,16-Feb-85
Tanguy PEPIOT,1496.3494066206104,1,2012,FRA,6-Jul-91
Abdelhamid ZERRIFI,1496.286634133183,1,2013,ALG,20-Jun-86
Krijn VAN KOOLWIJK,1496.2701707855963,3,2011,BEL,30-Aug-81
Silas Kosgei KITUM,1496.2470427846226,7,2012,KEN,25-May-90
Ali Ahmed AL AMRI,1496.1600008786336,3,2012,KSA,28-Dec-87
Artem KOSINOV,1495.772896603154,1,2012,KAZ,31-Jul-86
Ruben RAMOLEFI,1495.7726751840241,11,2012,RSA,17-Jul-78
Krystian ZALEWSKI,1495.762621601026,3,2014,POL,11-Apr-89
Weynay GHEBRESELASSIE,1495.642602138189,1,2012,ERI,24-Mar-94
Ivan LUKYANOV,1495.5611106371093,12,2014,MDA,31-Jan-81
James NIPPERESS,1495.3438368447257,1,2013,AUS,21-May-90
Antonio David JIMÉNEZ,1495.3319026829336,4,2012,ESP,18-Feb-77
Mario BAZÁN,1495.0121398801903,1,2012,PER,1-Sep-87
Bjørnar Ustad KRISTENSEN,1495.0080548944002,4,2011,NOR,26-Jan-82
Mitko TSENOV,1495.002249141558,1,2013,BUL,13-Jun-93
Ángel MULLERA,1494.9319691150024,7,2013,ESP,20-Apr-84
Albert MINCZÉR,1494.851062348344,1,2012,HUN,1-Oct-86
Elijah CHELIMO,1494.718268795894,8,2013,KEN,20-Apr-87
Kyle ALCORN,1494.6469796462864,4,2012,USA,18-Mar-85
Jukka KESKISALO,1494.3882982812543,5,2014,FIN,27-Mar-81
Roberto ALAIZ,1494.3399157691774,1,2013,ESP,20-Jul-90
Cory LESLIE,1494.3397927514789,1,2013,USA,24-Oct-89
Taylor MILNE,1494.2182599220846,1,2014,CAN,14-Sep-81
Steve SLATTERY,1494.1319079544583,6,2011,USA,14-Aug-80
Mark DRAPER,1494.05611033093,2,2013,GBR,28-Jun-84
Andrey FARNOSOV,1494.0165840349855,3,2012,RUS,9-Jul-80
Alexandre GENEST,1493.6823654380273,5,2013,CAN,30-Jun-86
Abdelaziz MERZOUGUI,1493.5189029172386,1,2012,ESP,30-Aug-91
Yuri FLORIANI,1493.0087103049261,4,2014,ITA,25-Dec-81
Nahom Mesfin TARIKU,1493.0072285892004,7,2013,ETH,3-Jun-89
Hicham SIGUENI,1493.0003133579967,2,2013,MAR,30-Jan-93
Stuart STOKES,1492.7887956669956,2,2012,GBR,5-Dec-76
Luke GUNN,1492.7495339019495,4,2013,GBR,22-Mar-85
Vadim SLOBODENYUK,1492.682283668886,2,2013,UKR,17-Mar-81
Ilgizar SAFIULIN,1492.5802943767367,3,2014,RUS,9-Dec-92
Sebastián MARTOS,1492.0544365655855,2,2013,ESP,20-Jun-89
William NELSON,1491.9157521591496,7,2012,USA,11-Sep-84
Tareq Mubarak TAHER,1490.8009488987223,5,2013,BRN,1-Dec-86
Benjamin KIPLAGAT,1490.7053951957282,19,2014,UGA,4-Mar-89
Alberto Casimiro PAULO,1490.4676263858669,5,2012,POR,3-Oct-85
Patrick NASTI,1490.4378063996505,1,2013,ITA,30-Aug-89
Meresa KAHSAY,1490.4282813441114,3,2014,ETH,23-May-96
Jacob ARAPTANY,1490.3245802681272,7,2014,UGA,11-Feb-92
Tomasz SZYMKOWIAK,1490.2960250416822,7,2013,POL,5-Jul-83
Ben BRUCE,1490.1031159268814,9,2013,USA,10-Sep-82
John KOECH,1489.8916468271684,3,2014,KEN,23-Aug-95
Abubaker Ali KAMAL,1489.8897708105592,3,2014,QAT,8-Nov-83
Daniel HULING,1489.7205764357873,13,2014,USA,16-Jul-83
Chris WINTER,1489.365830321101,3,2013,CAN,22-Jul-86
Youcef ABDI,1489.336905973397,9,2012,AUS,7-Dec-77
Vincent ZOUAOUI DANDRIEUX,1488.6602893189229,8,2012,FRA,12-Oct-80
Yoann KOWAL,1488.4140218115358,7,2014,FRA,28-May-87
Mateusz DEMCZYSZAK,1488.3941792242626,2,2014,POL,18-Jan-86
Steffen ULICZKA,1488.2451350384472,4,2013,GER,17-Jul-84
Andrew BAYER,1488.047585233472,2,2014,USA,3-Feb-90
Tarik Langat AKDAG,1487.9039429859304,14,2013,KEN,16-Jun-88
Habtamu FAYISA,1487.8761938455787,2,2014,ETH,19-Apr-93
José Gregorio PEÑA,1487.6562616764586,3,2014,VEN,12-Jan-87
Jaouad CHEMLAL,1485.3187731867058,3,2014,MAR,11-Apr-94
Bernard NGANGA,1484.0053140363075,13,2014,KEN,17-Jan-85
James WILKINSON,1482.7451905761122,4,2014,GBR,13-Jul-90
Łukasz PARSZCZYŃSKI,1475.1815992181791,8,2014,POL,4-May-85
