Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Javier CULSON,1608.8274718068694,22,2012,PUR,25-Jul-84
Félix SÁNCHEZ,1578.9592073480198,19,2012,DOM,30-Aug-77
David GREENE,1574.0831553500307,19,2012,GBR,11-Apr-86
Angelo TAYLOR,1567.2030837038856,17,2012,USA,29-Dec-78
Michael TINSLEY,1553.6489062668345,14,2012,USA,21-Apr-84
Bershawn JACKSON,1539.0907802052525,17,2012,USA,8-May-83
Jehue GORDON,1525.0673816288713,19,2012,TTO,15-Dec-91
Leford GREEN,1518.5534015357794,7,2012,JAM,14-Nov-86
Omar CISNEROS,1512.412856199401,8,2012,CUB,19-Nov-89
Brent LARUE,1512.1577941699302,2,2012,SLO,26-Apr-87
Mamadou Kasse HANN,1512.1455166218248,2,2012,SEN,10-Oct-86
Brendan COLE,1504.217721499097,2,2012,AUS,29-May-81
Emir BEKRIĆ,1503.3491165481878,4,2012,SRB,14-Mar-91
Jeshua ANDERSON,1503.1305320284414,3,2011,USA,22-Jun-89
Stanislav MELNYIKOV,1501.8616496491704,4,2012,UKR,26-Feb-87
LJ VAN ZYL,1501.7726055403887,15,2012,RSA,20-Jul-85
Silvio SCHIRRMEISTER,1501.7671894555579,1,2012,GER,7-Dec-88
Tetsuya TATENO,1499.9227091332941,1,2012,JPN,5-Aug-91
Sébastien MAILLARD,1497.3244534967512,1,2010,FRA,2-May-81
LaRon BENNETT,1497.0742834597058,1,2011,USA,25-Nov-82
Jack GREEN,1497.0468839190685,7,2012,GBR,6-Oct-91
Nathan WOODWARD,1496.985458375266,3,2012,GBR,17-Oct-89
Kenneth MEDWOOD,1496.5559481930563,3,2012,BIZ,14-Dec-87
Nils DUERINCK,1496.2488615284392,1,2010,BEL,20-Mar-84
Andreas TOTSÅS,1496.0091733107988,1,2010,NOR,1-Jul-81
Bandar Yahya AL SHARAKILI,1496.0072244146259,1,2010,KSA,6-Mar-87
Takayuki KISHIMOTO,1495.7662134413185,2,2011,JPN,6-May-90
Justin GAYMON,1495.4402050394872,11,2012,USA,13-Dec-86
Aleksandr DEREVYAGIN,1495.4186347208952,5,2012,RUS,24-Mar-79
Periklis IAKOVAKIS,1495.29652962114,1,2012,GRE,24-Mar-79
Amaurys VALLE,1494.9753755768925,2,2012,CUB,18-Jan-90
Amaechi MORTON,1494.860834819262,1,2012,NGR,30-Oct-89
Vyacheslav SAKAYEV,1494.8158197732093,1,2012,RUS,12-Jan-88
Roxroy CATO,1494.8123338686976,1,2012,JAM,1-May-88
Adrien CLEMENCEAU,1493.1862884422776,1,2012,FRA,25-May-88
Eric ALEJANDRO,1493.043255709149,2,2012,PUR,15-Apr-86
Richard DAVENPORT,1492.9671565295369,1,2011,GBR,12-Sep-85
Mahau SUGUIMATI,1492.866113856518,2,2011,BRA,13-Nov-84
José Reynaldo BENCOSME DE LEON,1492.3127962380267,3,2012,ITA,16-May-92
Rasmus MÄGI,1492.2352297958678,1,2012,EST,4-May-92
Seung-yun LEE,1491.552415038871,1,2011,KOR,28-Feb-89
Wen CHENG,1491.5016912428464,3,2012,CHN,6-Apr-89
Cornel FREDERICKS,1491.2138449071695,10,2012,RSA,3-Mar-90
Kerron CLEMENT,1491.1069147822386,12,2012,USA,31-Oct-85
Takatoshi ABE,1490.8871091473945,1,2011,JPN,12-Nov-91
Bonface MUCHERU,1490.7884655529083,1,2012,KEN,2-May-92
Jean Antonio VIEILLESSE,1490.5277215889814,1,2011,MRI,24-Jan-86
Jamele MASON,1490.44869805983,2,2012,PUR,19-Oct-89
Josef ROBERTSON,1489.3342781309384,3,2012,JAM,14-May-87
Tristan THOMAS,1488.5643361512193,2,2012,AUS,23-May-86
Chieh CHEN,1488.4668359181026,1,2012,TPE,8-May-92
Josef PROROK,1488.3923735589378,1,2012,CZE,16-Nov-87
Artem DYATLOV,1487.7149060281408,1,2012,UZB,22-May-89
Héni KECHI,1487.1701409733087,2,2012,FRA,31-Aug-80
Richard YATES,1486.5175576142929,3,2012,GBR,26-Jan-86
Michael BULTHEEL,1486.4805058487254,5,2012,BEL,30-Jun-86
Yuta IMAZEKI,1486.393673964796,2,2012,JPN,6-Nov-87
Jorge PAULA,1484.794270601887,2,2012,POR,8-Oct-84
Vincent Kiplangat KOSGEI,1484.3058881422107,3,2012,KEN,11-Nov-85
Viktor LEPTIKOV,1483.2469112729614,1,2012,KAZ,2-Jul-87
Rhys WILLIAMS,1483.080182074802,7,2012,GBR,27-Feb-84
Maoulida DAROUECHE,1483.0273068681374,1,2012,COM,7-Feb-90
Winder Bolivar CUEVAS,1482.920893466045,1,2012,DOM,1-Aug-88
Andrés Byron SILVA,1481.4192036065206,3,2012,URU,27-Mar-86
Georg FLEISCHHAUER,1480.603733052516,6,2012,GER,21-Oct-88
Kurt Leone COUTO,1479.3955748199974,5,2012,MOZ,14-May-85
Johnny DUTCH,1478.3596663984242,5,2011,USA,20-Jan-89
Isa PHILLIPS,1477.7979145958857,10,2012,JAM,22-Apr-84
Zhilong LI,1474.5668337710804,3,2012,CHN,9-Mar-88
