Athlete,Rating,Number Of Races
Muktar EDRIS,1557.5360145236552,27
Selemon BAREGA,1551.1609584575335,14
Yomif KEJELCHA,1546.880077290773,19
Hagos GEBRHIWET,1538.707101434588,33
Joshua CHEPTEGEI,1534.5858424187138,10
Telahun Haile BEKELE,1531.9698061560046,7
Mo FARAH,1530.5378176280606,24
Mohammed AHMED,1521.9994774882678,18
Paul CHELIMO,1519.1322321847492,15
Jakob INGEBRIGTSEN,1517.6636349690634,3
Birhanu BALEW,1517.6056926050028,14
Edward Zakayo PINGUA,1516.319815954646,2
Nicholas Kipkorir KIMELI,1513.7807240516665,7
Jacob KROP,1510.7978262145994,3
Isaac KIMELI,1507.1723159535873,3
Jacob KIPLIMO,1506.7464702056254,5
Bernard LAGAT,1504.8339146523745,18
Geoffrey KAMWOROR,1504.190230878504,3
Ibrahim JEILAN,1503.1938647634847,7
Caleb Mwangangi NDIKU,1502.8316052037376,13
Thomas Pkemei LONGOSIWA,1502.8191441386666,32
Andrew BUTCHART,1502.6733681178875,10
Solomon BERIHU,1502.2981366052163,4
Galen RUPP,1502.2769426605541,22
Justyn KNIGHT,1502.0934015007379,5
Stanley Waithaka MBURU,1501.7743053060879,3
Evan JAGER,1501.5364151935198,2
Yenew ALAMIREW,1501.4162209697852,30
Dejen GEBREMESKEL,1501.3582465916465,18
Abdelaati IGUIDER,1501.1306439477328,7
Abrar OSMAN,1501.0647078966726,7
Vincent Kiprop CHEPKOK,1500.406517627136,12
Edwin Cheruiyot SOI,1500.3424630267448,28
Abadi HADIS,1500.3126294593317,9
John KIPKOECH,1500.3074122094215,10
Nguse AMLOSOM,1500.274149711538,1
Tariku BEKELE,1500.2639882817111,13
Albert ROP,1500.2280374320012,21
Isiah Kiplangat KOECH,1500.210117885818,30
Yigrem DEMELASH,1500.1800004546596,7
Eliud KIPCHOGE,1500.1799557192676,12
Bedan KAROKI,1500.1450449378049,1
Mike FOPPEN,1500.1058043167614,1
Stephen MOKOKA,1500.0990110931657,2
Kenenisa BEKELE,1500.0730722727199,4
Dejeni REGASSA,1500.0625015473324,3
Chris SOLINSKY,1500.0624523246984,4
Sammy Alex MUTAHI,1500.023399251659,2
Brandon BETHKE,1500.0178238892177,1
Sileshi SIHINE,1500.0064024344965,2
Essa Ismail RASHED,1500.0017518514755,1
Dathan RITZENHEIN,1499.9830159178905,2
Ahmad Hassan ABDULLAH,1499.9818089864314,1
Saif Saaeed SHAHEEN,1499.977199824262,1
Bekana DABA,1499.975203801109,3
Bilisuma Shugi GELASSA,1499.9744314703698,3
Ed MORAN,1499.9733493834615,1
Lawi LALANG,1499.9684064805701,4
Juan VAN DEVENTER,1499.9661321633143,1
Mathew Kipkoech KISORIO,1499.9553627954488,5
