Athlete,Rating,Number Of Races
"Kiprop, Asbel",1585.0574583097214,2
"Cheruiyot, Timothy",1549.4743469976088,1
"Manangoi, Elijah",1521.349611733356,2
"Iguider, Abdelaati",1518.462930196775,1
"Kiplagat, Silas",1513.5999003137467,3
"El Kaam, Fouad",1503.795106277245,1
"Birgen, Bethwell",1501.4203736746852,1
"Tesfaye, Homiyu",1500.7657186222682,1
"Makhloufi, Taofik",1498.8433973920148,1
"Carvalho, Florian",1498.4871216856109,1
"Mouhyadin, Abdi",1498.2777535572684,1
"Kibet, Vincent",1495.9329992900025,2
"Blankenship, Ben",1494.6790935416273,1
"Gregson, Ryan",1494.4143931238739,2
"Essalhi, Younés",1494.330875786533,1
"Biwott, Robert",1494.1810730243376,1
"Jager, Evan",1493.2159519289619,1
"Wote, Aman",1492.9874308572441,2
"Moukrime, Tarik",1492.4443643679037,1
"Amdouni, Morhad",1491.5182749607384,1
"Keddar, Salim",1490.434475282895,1
"Magut, James",1489.799099710241,1
"Moustaoui, Mohamed",1489.1018292238143,1
"Hlaselo, Dumisane",1487.409970428834,2
"Holusa, Jakub",1487.3007506776166,1
"Nabil, Oussama",1487.222813253317,1
"Wolde, Dawit",1485.2284255495701,2
"Mousab, Adam",1483.6871340198584,2
"Alonso, Carlos",1483.5953481588465,1
"Hunter, Andrew",1482.981978053484,1
