Athlete,Rating,Number Of Races
"Kiprop, Asbel",1585.0574583097214,2
"Manangoi, Elijah",1566.7935943933078,3
"Cheruiyot, Timothy",1549.4743469976088,1
"Iguider, Abdelaati",1518.462930196775,1
"Kiplagat, Silas",1515.5307027724473,4
"Biwott, Robert",1514.5454915218436,2
"Gregson, Ryan",1504.3791108952253,3
"El Kaam, Fouad",1503.795106277245,1
"Birgen, Bethwell",1499.6204715860752,2
"Makhloufi, Taofik",1498.8433973920148,1
"Mouhyadin, Abdi",1498.2777535572684,1
"O'Hare, Chris",1496.678131621192,1
"Kibet, Vincent",1495.9329992900025,2
"Blankenship, Ben",1494.6790935416273,1
"Tesfaye, Homiyu",1494.6601737069832,2
"Wote, Aman",1494.6491939373368,3
"Essalhi, Younés",1494.330875786533,1
"Carvalho, Florian",1493.9097582232973,2
"Jager, Evan",1493.2159519289619,1
"Moukrime, Tarik",1492.4443643679037,1
"Philibert-Thiboutot, Charles",1491.6836627407556,1
"Ingebrigtsen, Henrik",1490.4428126523119,1
"Keddar, Salim",1490.434475282895,1
"Magut, James",1489.799099710241,1
"Moustaoui, Mohamed",1489.1018292238143,1
"Hlaselo, Dumisane",1487.409970428834,2
"Holusa, Jakub",1487.3007506776166,1
"Nabil, Oussama",1487.222813253317,1
"Cheboi, Collins",1487.0639647120706,1
"Amdouni, Morhad",1485.1767131782183,2
"Mousab, Adam",1483.6871340198584,2
"Alonso, Carlos",1483.5953481588465,1
"Abdikadar, Mohad",1483.3899437979583,1
"Hunter, Andrew",1482.981978053484,1
"Wolde, Dawit",1475.428597806408,3
