Athlete,Rating,Number Of Races
"Rotich, Ferguson",1584.8403075873373,3
"Bosse, Pierre-Ambroise",1548.4677676724536,3
"Berian, Boris",1540.7940164365177,1
"Biwott, Robert",1515.0057395421363,1
"Makhloufi, Taofik",1510.9861742086057,1
"Kipketer, Alfred",1505.4307315779145,1
"Rudisha, David",1502.7568896636565,3
"Kszczot, Adam",1501.6876675737178,2
"Kupers, Thijmen",1500.4828736746852,1
"Ralph, Joshua",1499.3457961008166,1
"Matthews, Luke",1497.3811696395583,1
"Rotich, Andrew",1496.310717896373,1
"Gakeme, Antoine",1494.9858982404903,1
"Lewandowski, Marcin",1494.7519879817737,2
"Abdalla, Abubaker",1494.1130840227195,1
"Elguesse, Abdelatif",1493.182712951394,1
"van Rensburg, Reinhardt",1493.04717960531,1
"Tuka, Amel",1492.0550850255659,2
"Sowinski, Erik",1491.9541183380518,2
"Aman, Mohammed",1490.2196065120056,2
"Amos, Nijel",1490.1889808275398,1
"Rimmer, Michael",1488.177844682351,2
"Vazquez, Wesley",1487.2014778924802,1
"El Manaoui, Amine",1486.90525691891,1
"Symmonds, Nick",1486.8497007903627,1
"Kitum, Timothy",1485.1818626194377,2
"Kinyor, Job",1482.3961992947184,1
"Berglund, Kalle",1482.0322438354249,1
"Wheating, Andrew",1481.751981042202,1
"Hairane, Jamal",1481.5149278454905,1
