Athlete,Rating,Number Of Races
"Edris, Muktar",1643.6122845481457,5
"Farah, Mo",1620.2340030680255,3
"Gebrhiwet, Hagos",1610.8998707783257,3
"Butchart, Andrew",1584.5651571162368,3
"Cheptegei, Joshua",1579.3136712115604,3
"Lagat, Bernard",1577.5488205274362,2
"Ahmed, Mohammed",1576.2019742990103,2
"Balew, Birhanu",1567.6537689696079,1
"Gelant, Elroy",1567.6537689696079,1
"Osman, Abrar",1567.6537689696079,1
"Torrence, David",1567.6537689696079,1
"Gebremeskel, Dejen",1567.4471423183907,2
"Rop, Albert",1566.2308175324015,2
"Chelimo, Paul",1560.2262561806335,2
"Jeilan, Ibrahim",1550.085133554803,1
"Robinson, Brett",1541.9604387738045,4
"Kejelcha, Yomif",1531.269431380046,3
"Kamworwor, Geoffrey",1521.6306869262285,1
"Iguider, Abdelaati",1518.8229474463988,2
"Longosiwa, Thomas",1505.9675921398855,3
"Kiptanui, Matthew",1505.3330467904996,1
"Demelash, Yigrem",1505.2273597028131,1
"Maiyo, Hillary",1500.845189865145,2
"Embaye, Abadi",1500.6421441616762,2
"Kipkoech, John",1500.4734578915618,1
"Mead, Hassan",1499.3215361733023,1
"Berihu, Salomon",1498.2404477105977,1
"Awad, Zouhair",1498.0603576747792,1
"Taylor, Jonathan",1497.495228705517,1
"Ayele, Abayneh",1496.9922451116506,1
"Kibiwott, Abraham",1496.9785435669023,1
"Koech, Paul",1496.4254303347375,1
"Kipsang, Emmanuel",1496.407136345163,1
"Weir, Richard",1496.3976508642584,1
"Griffiths, Dewi",1495.632311540055,1
"Mokoka, Stephen",1495.3312426916855,1
"Tamire, Getaneh",1494.9302795809347,1
"Merga, Imane",1494.5080149497933,1
"Rutto, Cyrus",1494.3400331970015,1
"Gashahun, Abe",1494.2254179093543,1
"St. Lawrence, Ben",1493.8298623289156,2
"Amdouni, Morhad",1493.566793742145,1
"Jenkins, Eric",1493.3943107689984,1
"True, Ben",1493.0846525627287,2
"Tadese, Zersenay",1492.2654971130712,1
"Tanui, Paul",1491.9285953742738,1
"Birgen, Bethwell",1491.8813739473344,2
"Debela, Dejene",1491.2736906862724,2
"Bacha Regasa, Zelalem",1490.9071100222407,1
"Hill, Ryan",1490.5934181226364,2
"Levins, Cameron",1489.4021288844701,1
"Kowal, Yoann",1489.3206679672578,1
"Millington, Ross",1489.1945897834348,1
"Haji, Yasin",1489.1714442564462,1
"Alamirew, Yenew",1488.377078140396,4
"Buraas, Sindre",1487.423610803886,1
"Yoroizaka, Tetsuya",1487.391592103995,1
"Legese, Birhanu",1487.105140670287,1
"Muneria, Charles",1486.2908614936825,1
"Essalhi, Younés",1486.2872164013377,1
"Nkhasi, Namakoe",1486.1332507790282,1
"Kiplimo, Jacob",1486.060551549241,1
"D'Hoedt, Jeroen",1485.8759022448935,2
"Irabaruta, Olivier",1485.600343843254,1
"Campbell, Kemoy",1485.3684932103195,1
"McEntee, Sam",1485.2373632914562,1
"Bruchet, Lucas",1484.7743229007365,1
"Ringer, Richard",1484.201469675722,1
"Abdi, Bashir",1483.9533159747866,2
"Mullett, Rob",1483.8758541556995,1
"Chelanga, Samuel",1483.838688877529,1
"Nftalem, Awet",1483.8213295624355,1
"Kifle, Aron",1483.5605258062212,1
"Alotaibi, Mukhlid",1483.483346245992,1
"Duo, Bujie",1483.2016198371093,1
"Murayama, Kota",1482.550973932439,1
"Ayalew, Aweke",1482.1032820674748,2
"Soi, Edwin",1481.5512566146074,4
"Rimal, Hari",1481.261392253139,1
"Mohamed, Mohamed Daud",1479.2507715267543,1
"Ibrahimov, Hayle",1476.7988864048773,4
"Siosi, Rosefelo",1475.0453863751557,1
"Al-Amri, Tariq",1474.0553141146324,1
"Abadia, Antonio",1473.8449089515104,1
"Mechaal, Adel",1473.5978126658847,2
"Kaya, Ali",1473.5957410651108,1
"Chitsala, Kefasi",1473.1075931217745,1
"San Naing, San Naing",1471.5207822911261,1
"Bouqantar, Soufiyan",1470.9823307585373,2
"Osako, Suguru",1470.306263793797,1
"Fifa, Illias",1467.8969750230583,1
"Leitao, Romario",1467.5557111700443,1
"Farrell, Thomas",1466.020854726414,2
"Tewelde, Hiskel",1464.270227797807,1
"Orth, Florian",1458.4643102926268,1
"Ndiku, Caleb",1452.7291396502062,2
"Tiernan, Patrick",1448.1573085918762,1
"Koech, Isiah",1427.490500533489,4
"Kipyeko, Phillip",1351.7278847022333,1
