Athlete,Rating,Number Of Races
"Bosse, Pierre-Ambroise",1610.8664659057122,5
"Rotich, Ferguson",1607.9259928208025,5
"Kipketer, Alfred",1581.025812873891,3
"Berian, Boris",1569.0031792224415,2
"McBride, Brandon",1551.9290808809026,3
"Kszczot, Adam",1549.6438624261368,4
"Makhloufi, Taofik",1549.5976742634728,2
"Rudisha, David",1542.398161622881,4
"Van Rensburg, Reinhardt",1539.9583333333333,1
"Murphy, Clayton",1539.9583333333333,1
"Smaili, Mostafa",1539.8744570641356,1
"Benedetti, Giordano",1539.8744570641356,1
"Bube, Andreas",1539.343483065861,1
"Hethat, Yassine",1539.343483065861,1
"Lewandowski, Marcin",1535.9789506571453,4
"Arroyo, Andres",1535.9690290841754,1
"Mohamed, Hamada",1535.9690290841754,1
"Belferar, Amine",1532.0833333333333,1
"Souleiman, Ayanleh",1531.9570643310678,1
"Kleberson, Davide",1531.9570643310678,1
"English, Mark",1527.2299322380154,2
"Rimmer, Michael",1524.9294718790054,4
"Tuka, Amel",1524.7457051755473,3
"Aman, Mohammed",1523.2058547401632,3
"Biwott, Robert",1515.0057395421363,1
"Ralph, Joshua",1499.3457961008166,1
"Rotich, Andrew",1496.310717896373,1
"Kitilit, Jonathan",1495.9709759616542,1
"Kupers, Thijmen",1495.0538431043733,2
"Elguesse, Abdelatif",1493.182712951394,1
"van Rensburg, Reinhardt",1493.04717960531,1
"Dahmani, Samir",1491.416832704862,1
"Kipkoech, Nicholas",1489.3416785436998,1
"Grice, Charles",1487.3071320210377,1
"El Manaoui, Amine",1486.90525691891,1
"Symmonds, Nick",1486.8497007903627,1
"Kitum, Timothy",1485.1818626194377,2
"Sowinski, Erik",1485.0528751779614,3
"Kinyor, Job",1482.3961992947184,1
"Berglund, Kalle",1482.0322438354249,1
"Wheating, Andrew",1481.751981042202,1
"Hairane, Jamal",1481.5149278454905,1
"Rozani, Jacob",1480.0786898870444,1
"Repcik, Jozef",1479.350826345076,1
"Giles, Elliot",1476.7384321007382,1
"de Arriba, Alvaro",1474.8691426578864,1
"Moya, Pol",1474.866324497547,1
"Kawamoto, Sho",1473.754034214803,1
"Grethen, Charles",1473.3703984368217,1
"Paes, Lutmar",1473.2622737472125,1
"Enzema, Benjamin",1472.2206993539783,1
"Abdalla, Abubaker",1471.6497238681004,2
"Amos, Nijel",1470.9963951336406,3
"Biel, Yiech",1470.9648356442267,1
"Lopez, Kevin",1470.79788666689,1
"Romaniw, Anthony",1470.7910841558555,1
"Vazquez, Wesley",1469.867698634965,2
"Andujar, Daniel",1469.8438277996825,1
"Masilo, Boitumelo",1469.4331130473574,1
"Amankwah, Alex",1468.9252982226317,1
"Riseley, Jeffrey",1468.3640283597053,2
"Bol, Peter",1467.4699442183112,1
"Beddoes, Alex",1467.1941460168346,1
"Jock, Charles",1464.6478809794046,2
"Hajdari, Musa",1460.7784687681624,1
"Gakeme, Antoine",1459.3652791058723,2
"Rodriguez, Rafith",1456.9320228907586,1
"Matthews, Luke",1456.730117089987,3
"Johnson, Jinson",1455.0641981109989,1
"Rudolf, Zan",1450.028238768415,1
"Etes, Brice",1449.2091235243322,2
