Athlete,Rating,Number Of Races
"Rudisha, David",1588.9362816124217,7
"Bosse, Pierre-Ambroise",1578.8466775149,7
"Rotich, Ferguson",1575.0602607870437,8
"Makhloufi, Taofik",1566.3430768816334,4
"Murphy, Clayton",1557.3131297616949,3
"Kipketer, Alfred",1554.6677147299195,6
"Berian, Boris",1548.9043744191085,4
"Bett, Kipyegon",1548.4717628459362,1
"Lewandowski, Marcin",1532.074590598764,7
"Biwott, Robert",1527.630955342937,2
"Van Rensburg, Reinhardt",1523.975,1
"Hethat, Yassine",1520.5408563241776,2
"Kszczot, Adam",1520.0670976105644,6
"Souleiman, Ayanleh",1513.8782163879891,2
"Benedetti, Giordano",1513.336338608754,2
"McBride, Brandon",1511.2896272096252,5
"Bube, Andreas",1510.871280271573,2
"Tuka, Amel",1510.6053331862531,4
"English, Mark",1509.1661602791928,3
"Belferar, Amine",1506.9168093284695,2
"Mohamed, Hamada",1504.601855740168,2
"Arroyo, Andres",1502.010585091654,2
"Kleberson, Davide",1500.2895459242536,2
"Ralph, Joshua",1499.60747766049,1
"Aman, Mohammed",1497.8660421596228,4
"Rotich, Andrew",1497.7864307378238,1
"Kitilit, Jonathan",1497.5825855769924,1
"Smaili, Mostafa",1496.0588417478725,2
"Elguesse, Abdelatif",1495.9096277708366,1
"Dahmani, Samir",1494.8500996229172,1
"Kipkoech, Nicholas",1493.6050071262198,1
"Rimmer, Michael",1492.7859977601847,5
"Grice, Charles",1492.3842792126225,1
"van Rensburg, Reinhardt",1492.28022676772,2
"El Manaoui, Amine",1492.1431541513462,1
"Symmonds, Nick",1492.1098204742175,1
"Kitum, Timothy",1491.1091175716626,2
"Sowinski, Erik",1491.0317251067768,3
"Kinyor, Job",1489.4377195768313,1
"Berglund, Kalle",1489.219346301255,1
"Wheating, Andrew",1489.0511886253214,1
"Hairane, Jamal",1488.9089567072942,1
"Kupers, Thijmen",1488.3491091980675,3
"Loxsom, Casimir",1488.1329920988344,1
"Rozani, Jacob",1488.047213932227,1
"Repcik, Jozef",1487.6104958070455,1
"Giles, Elliot",1486.0430592604432,1
"de Arriba, Alvaro",1484.9214855947318,1
"Moya, Pol",1484.9197946985282,1
"Kawamoto, Sho",1484.252420528882,1
"Grethen, Charles",1484.022239062093,1
"Paes, Lutmar",1483.9573642483276,1
"Zhang, Dashan",1483.4542442397135,1
"Enzema, Benjamin",1483.3324196123872,1
"Abdalla, Abubaker",1482.9898343208604,2
"Amos, Nijel",1482.5978370801847,3
"Biel, Yiech",1482.578901386536,1
"Lopez, Kevin",1482.478732000134,1
"Romaniw, Anthony",1482.474650493513,1
"Vazquez, Wesley",1481.920619180979,2
"Andujar, Daniel",1481.9062966798097,1
"Masilo, Boitumelo",1481.6598678284147,1
"Amankwah, Alex",1481.3551789335788,1
"Riseley, Jeffrey",1481.0184170158234,2
"Bol, Peter",1480.4819665309867,1
"Beddoes, Alex",1480.3164876101007,1
"Jock, Charles",1478.7887285876427,2
"Hajdari, Musa",1476.4670812608974,1
"Gakeme, Antoine",1475.6191674635236,2
"Rodriguez, Rafith",1474.1592137344549,1
"Matthews, Luke",1474.0380702539926,3
"Johnson, Jinson",1473.0385188665991,1
"Rudolf, Zan",1470.016943261049,1
"Etes, Brice",1469.5254741145993,2
