Athlete,Rating,Number Of Races
"Manangoi, Elijah",1638.5659541117875,11
"Cheruiyot, Timothy",1621.112371128092,8
"Kwemoi, Ronald",1608.6446537449103,7
"Makhloufi, Taofik",1573.265976305027,7
"Kiprop, Asbel",1573.173436357188,13
"Willis, Nick",1561.9497499940112,7
"Kiplagat, Silas",1552.8229087569155,10
"Wightman, Jake",1552.8173414092412,4
"Wote, Aman",1549.9149365770147,6
"Iguider, Abdelaati",1549.684675571242,11
"Centrowitz, Matthew",1549.3182677414663,6
"Musagala, Ronald",1547.3657732255044,4
"O'Hare, Chris",1545.075877731047,7
"Brannen, Nathan",1539.8879627697004,4
"Kibet, Vincent",1536.4457885152324,9
"Ingebrigtsen, Filip",1522.171887675116,9
"Andrews, Robby",1520.0866971563344,3
"Simotwo, Charles",1518.7369698178838,2
"Lewandowski, Marcin",1518.7278130003685,4
"Mikhou, Sadik",1517.6196340665592,3
"Souleiman, Ayanleh",1513.1071016913625,7
"Benitz, Timo",1508.8331220982695,2
"Grice, Charles",1507.5326391827648,5
"Blankenship, Ben",1506.9492187831745,8
"Tesfaye, Homiyu",1504.2666051089702,6
"Gregorek, John",1504.2433432394512,1
"Rozmys, Michal",1504.2433432394512,1
"Williamsz, Jordan",1503.7110940809096,3
"Murphy, Clayton",1503.651290387474,1
"Farah, Mo",1502.4231787218853,1
"Bustos, David",1502.3190242616192,4
"Mekhissi, Mahiedine",1501.6801626083654,1
"El Kaam, Fouad",1501.5781338018412,5
"Birgen, Bethwell",1500.071790867643,8
"Berglund, Kalle",1499.8025366927086,2
"Rogestedt, Johan",1499.1924555051983,1
"Mouhyadin, Abdi",1498.9666521343609,1
"Bruno, Federico",1497.001501418648,1
"Emanuel, Lee",1496.637615815233,1
"Essalhi, Younés",1496.5985254719199,1
"Biwott, Robert",1496.4208105544342,6
"Gregson, Ryan",1495.933224005955,16
"Jager, Evan",1495.9295711573773,1
"Moukrime, Tarik",1495.4666186207426,1
"Tefera, Samuel",1495.3762442722127,1
"Grice, Charlie",1495.1021645382596,3
"Kaazouzi, Brahim",1494.7581132910955,2
"Magut, James",1494.6490865008304,2
"Philibert-Thiboutot, Charles",1494.5021360351832,4
"Douma, Richard",1493.5498820388646,1
"Moustaoui, Mohamed",1493.4610975342887,1
"Hlaselo, Dumisane",1492.4459822573003,2
"Nabil, Oussama",1492.3336879519904,1
"Aden, Said",1492.2071893235818,1
"Manzano, Leo",1492.1895246711672,1
"Soget, Justus",1491.9763689445467,1
"Marshall, Tom",1491.7981546269014,1
"Amdouni, Morhad",1491.106027906931,2
"Mousab, Adam",1490.212280411915,2
"Alonso, Carlos",1490.157208895308,1
"Abdikadar, Mohad",1490.033966278775,1
"Hunter, Andrew",1489.7891868320905,1
"Kerr, Josh",1488.8766175750523,1
"Lancashire, Thomas",1488.7745521332101,2
"Fitzgibbon, Robbie",1488.7650288980647,1
"Cheboi, Collins",1488.6828574684146,2
"Holusa, Jakub",1488.4767418091853,8
"Taki, Kumari",1488.1353753462092,1
"Ngetich, Hillary",1487.6093381487226,2
"Torrence, David",1487.2275618892997,3
"Anou, Abderrahmane",1487.062373560288,1
"Kidder, Brannon",1486.2597321786786,1
"Debjani, Ismael",1484.8081679489542,2
"Ingebrigtsen, Henrik",1484.291134159625,6
"Bayer, Andrew",1483.8426202281462,2
"Enzema, Benjamin",1483.5104763283225,1
"Tolosa, Teresa",1483.400409018434,1
"Ingebrigtsen, Jakob",1483.2563725820887,1
"Dixon, Harvey",1483.21596117195,1
"Gebremedhin, Mekonnen",1481.1375104844924,2
"Lobalu, Dominic",1478.2944222900696,1
"Hannes, Pieter-Jan",1478.0158572092841,5
"Alcala, Marc",1477.1108376381358,2
"Selmouni, Sofiane",1475.7270712787338,2
"Kenyi, Santino",1473.4590878989482,1
"Alzaabi, Saud",1472.4436559716605,1
"Amotun, Paulo",1471.9331733524655,1
"Soares, Agusto",1471.587283687741,1
"Wolde, Dawit",1471.2635490344107,7
"Mechaal, Adel",1471.023014308059,2
"Andre, Thiago",1470.663753302187,1
"Rageh, Mohammed",1466.586995003172,1
"Seurei, Benson",1465.372412552541,3
"Ozbilen, Ilham",1460.9982024489514,1
"Carvalho, Florian",1453.5889036756325,4
"Rodriguez, Erick",1446.883324583189,2
"Carson, Hamish",1442.984790878399,1
"Keddar, Salim",1405.313991488286,2
"Matthews, Luke",1399.8203050533527,4
