Athlete,Rating,Number Of Races
"Manangoi, Elijah",1701.2432988238086,13
"Cheruiyot, Timothy",1642.5331551751465,10
"Kwemoi, Ronald",1587.8952322739076,8
"Makhloufi, Taofik",1573.265976305027,7
"Kiprop, Asbel",1568.9459132208503,15
"Willis, Nick",1559.333823513529,9
"Ingebrigtsen, Filip",1553.5167543759783,11
"Kiplagat, Silas",1552.8229087569155,10
"Wote, Aman",1549.9149365770147,6
"Centrowitz, Matthew",1549.3182677414663,6
"Iguider, Abdelaati",1544.2683347065554,12
"Brannen, Nathan",1539.8879627697004,4
"Kibet, Vincent",1536.4457885152324,9
"Wightman, Jake",1535.4467851175475,5
"O'Hare, Chris",1530.2562695707986,9
"Mikhou, Sadik",1529.935570595466,5
"Musagala, Ronald",1528.6078033712242,5
"Lewandowski, Marcin",1525.9348025178917,6
"Andrews, Robby",1520.0866971563344,3
"Simotwo, Charles",1518.7369698178838,2
"Souleiman, Ayanleh",1513.1071016913625,7
"Grice, Charles",1507.5326391827648,5
"Holusa, Jakub",1507.336856084898,10
"Blankenship, Ben",1506.9492187831745,8
"Gregorek, John",1505.6661502287404,3
"Murphy, Clayton",1503.651290387474,1
"Williamsz, Jordan",1503.40159932977,4
"Mechaal, Adel",1503.3978536394757,4
"Farah, Mo",1502.4231787218853,1
"Bustos, David",1502.3190242616192,4
"Mekhissi, Mahiedine",1501.6801626083654,1
"Birgen, Bethwell",1500.071790867643,8
"Rogestedt, Johan",1499.1924555051983,1
"El Kaam, Fouad",1499.163971489845,7
"Mouhyadin, Abdi",1498.9666521343609,1
"Bruno, Federico",1497.001501418648,1
"Emanuel, Lee",1496.637615815233,1
"Essalhi, Younés",1496.5985254719199,1
"Biwott, Robert",1496.4208105544342,6
"Gregson, Ryan",1495.933224005955,16
"Jager, Evan",1495.9295711573773,1
"Moukrime, Tarik",1495.4666186207426,1
"Tefera, Samuel",1495.3762442722127,1
"Grice, Charlie",1495.1021645382596,3
"Kaazouzi, Brahim",1494.7581132910955,2
"Magut, James",1494.6490865008304,2
"Philibert-Thiboutot, Charles",1494.5021360351832,4
"Moustaoui, Mohamed",1493.4610975342887,1
"Tesfaye, Homiyu",1492.8640750222564,7
"Hlaselo, Dumisane",1492.4459822573003,2
"Nabil, Oussama",1492.3336879519904,1
"Aden, Said",1492.2071893235818,1
"Manzano, Leo",1492.1895246711672,1
"Soget, Justus",1491.9763689445467,1
"Marshall, Tom",1491.7981546269014,1
"Amdouni, Morhad",1491.106027906931,2
"Mousab, Adam",1490.212280411915,2
"Alonso, Carlos",1490.157208895308,1
"Abdikadar, Mohad",1490.033966278775,1
"Hunter, Andrew",1489.7891868320905,1
"Kerr, Josh",1488.8766175750523,1
"Lancashire, Thomas",1488.7745521332101,2
"Fitzgibbon, Robbie",1488.7650288980647,1
"Cheboi, Collins",1488.6828574684146,2
"Taki, Kumari",1488.1353753462092,1
"Ngetich, Hillary",1487.6093381487226,2
"Torrence, David",1487.2275618892997,3
"Anou, Abderrahmane",1487.062373560288,1
"Rozmys, Michal",1486.8637743567351,2
"Kidder, Brannon",1486.2597321786786,1
"Debjani, Ismael",1484.8081679489542,2
"Berglund, Kalle",1484.666051132731,3
"Benitz, Timo",1484.4843660396214,3
"Ingebrigtsen, Henrik",1484.291134159625,6
"Bayer, Andrew",1483.8426202281462,2
"Enzema, Benjamin",1483.5104763283225,1
"Tolosa, Teresa",1483.400409018434,1
"Ingebrigtsen, Jakob",1483.2563725820887,1
"Dixon, Harvey",1483.21596117195,1
"Gebremedhin, Mekonnen",1481.1375104844924,2
"Lobalu, Dominic",1478.2944222900696,1
"Hannes, Pieter-Jan",1478.0158572092841,5
"Alcala, Marc",1477.1108376381358,2
"Selmouni, Sofiane",1475.7270712787338,2
"Kenyi, Santino",1473.4590878989482,1
"Alzaabi, Saud",1472.4436559716605,1
"Amotun, Paulo",1471.9331733524655,1
"Soares, Agusto",1471.587283687741,1
"Wolde, Dawit",1471.2635490344107,7
"Andre, Thiago",1470.663753302187,1
"Douma, Richard",1469.4728730184856,2
"Rageh, Mohammed",1466.586995003172,1
"Ozbilen, Ilham",1460.9982024489514,1
"Carvalho, Florian",1453.5889036756325,4
"Seurei, Benson",1450.1698774375877,4
"Rodriguez, Erick",1446.883324583189,2
"Carson, Hamish",1442.984790878399,1
"Matthews, Luke",1406.424510995821,5
"Keddar, Salim",1405.313991488286,2
