Athlete,Rating,Number Of Races
"Farah, Mo",1732.4155124586155,10
"Edris, Muktar",1703.0776841095285,13
"Gebrhiwet, Hagos",1595.557414257865,6
"Kejelcha, Yomif",1593.2987752370002,11
"Chelimo, Paul",1591.6178227529344,9
"Ahmed, Mohammed",1550.1814425254995,8
"Cheptegei, Joshua",1549.7558552628766,7
"Lagat, Bernard",1545.1763380324371,4
"Butchart, Andrew",1544.8228548120078,10
"Barega, Selemon",1542.703747791728,4
"Osman, Abrar",1533.1191398091462,2
"Iguider, Abdelaati",1530.7099082130178,6
"Gebremeskel, Dejen",1530.501082748427,3
"Kamworwor, Geoffrey",1530.2236758429776,2
"Gelant, Elroy",1529.4217611547476,2
"Jeilan, Ibrahim",1524.1648608421133,2
"Torrence, David",1523.8467915016956,2
"Balew, Birhanu",1522.5376147553925,5
"Knight, Justyn",1521.6071713969686,2
"Kifle, Aron",1519.982021968411,4
"Rop, Albert",1516.5992891098708,10
"Robinson, Brett",1513.9761951680466,5
"Jager, Evan",1511.702332045265,1
"Mechaal, Adel",1508.3696046467376,6
"Hill, Ryan",1507.2637925754836,6
"Kwemoi, Ronald",1504.5540702727606,3
"Kiptanui, Matthew",1503.1998280742996,1
"Demelash, Yigrem",1503.136415821688,1
"McDonald, Morgan",1501.9660966268452,1
"Maiyo, Hillary",1500.5071139190866,2
"Embaye, Abadi",1500.3852864970056,2
"Kipkoech, John",1500.2840747349371,1
"Longosiwa, Thomas",1500.144520776062,5
"Mikhou, Sadik",1499.759025747919,1
"Awad, Zouhair",1499.22136803702,2
"Berihu, Salomon",1498.9442686263587,1
"Abdi, Bashir",1498.853873029206,4
"Bayer, Andrew",1498.842897153522,1
"Kangogo, Cornelius",1498.741038247923,1
"Kaazouzi, Brahim",1498.593084186828,1
"Taylor, Jonathan",1498.4971372233106,1
"Al Amri, Tariq",1498.2175442307937,1
"Ayele, Abayneh",1498.1953470669903,1
"Kibiwott, Abraham",1498.1871261401413,1
"Koech, Paul",1497.8552582008426,1
"Kipsang, Emmanuel",1497.8442818070978,1
"Weir, Richard",1497.838590518555,1
