Athlete,Rating,Number Of Races
"Cheruiyot, Timothy",1761.2741772592,28
"Ingebrigtsen, Jakob",1677.2416610866305,19
"Makhloufi, Taofik",1589.2064363458874,11
"McSweyn, Stewart",1581.5144527585728,10
"Wightman, Jake",1572.3686875785531,14
"Lewandowski, Marcin",1569.2308757657252,16
"Centrowitz, Matthew",1563.0685488789609,14
"Kwemoi, Ronald",1559.0054561971576,12
"Manangoi, Elijah",1556.9427395625867,21
"Tefera, Samuel",1551.4120717471053,13
"Kerr, Josh",1546.794946741841,5
"Souleiman, Ayanleh",1541.8719508031259,23
"Ingebrigtsen, Filip",1536.5842853999482,25
"Engels, Craig",1535.5010065402375,9
"Hiss Bachir, Youssouf",1535.3318223284948,4
"Musagala, Ronald",1530.8141544360888,12
"Gourley, Neil",1528.944306692566,7
"Berglund, Kalle",1523.7257178254274,12
"Barega, Selemon",1518.6220881406518,1
"Gomez, Jesus",1517.6123115440173,7
"Kiprop, Asbel",1515.6739521241102,16
"Akankam, Hicham",1511.3610554420948,2
"Kaazouzi, Brahim",1509.2901753900394,7
"Brannen, Nathan",1508.6157999582554,4
"Miellet, Alexis",1508.3061661076956,5
"El Bakkali, Soufiane",1507.9795473084362,1
"O'Hare, Chris",1507.1938190731607,16
"Andrews, Robby",1506.414370736003,5
"Kiplagat, Silas",1505.9389829274317,13
"Kiprugut, Boaz",1503.7801385562182,1
"Chelimo, Paul",1503.0056064502605,1
"Mikhou, Sadik",1502.7572893498389,7
"Girma, Lamecha",1502.6341860484727,1
"Tuwei, Cornelius",1501.9642999759533,1
"Farah, Mo",1500.523406603927,1
"Bustos, David",1500.5009092405096,4
"Mekhissi, Mahiedine",1500.3629151234068,1
"Ahmed, Mohammed",1499.8829391414988,1
"Bruno, Federico",1499.3523243064276,1
"Casey, Patrick",1499.3352683313958,1
"Emanuel, Lee",1499.2737250160903,1
"Essalhi, Younés",1499.2652815019344,1
"Biwott, Robert",1499.226895079758,6
"Moukrime, Tarik",1499.0207896220804,1
"Grice, Charlie",1498.942067540264,3
"Magut, James",1498.8442026841794,2
"Philibert-Thiboutot, Charles",1498.8124613835996,4
"Moustaoui, Mohamed",1498.5875970674067,1
"Tesfaye, Homiyu",1498.4586402048074,7
"Hlaselo, Dumisane",1498.3683321675767,2
"Nabil, Oussama",1498.3440765976293,1
"Aden, Said",1498.3167528938934,1
"Manzano, Leo",1498.3129373289719,1
"Hairane, Jamal",1498.2831955849952,1
"Torrence, David",1498.2610342223468,4
