Athlete,Rating,Number Of Races
Almaz AYANA,1599.2328524226439,2
Tirunesh DIBABA,1543.243624576864,2
Vivian Jepkemoi CHERUIYOT,1535.3541753055986,2
Agnes Jebet TIROP,1520.4872988385798,1
Alice Aprot NAWOWUNA,1519.4989166468356,2
Gelete BURKA,1509.256487857258,2
Emily INFELD,1509.0735477321646,3
Molly HUDDLE,1507.5053191366064,3
Susan KRUMINS,1507.414706466529,3
Betsy SAINA,1506.0572309386657,2
Irene Chebet CHEPTAI,1504.025694671732,1
Sally KIPYEGO,1501.854586877093,1
Yasemin CAN,1501.6553796037942,2
Karoline Bjerkeli GRØVDAL,1501.3340113010067,1
Emily SISSON,1501.0976913707577,1
Shalane FLANAGAN,1500.9529632132585,1
Alemitu HAROYE,1500.291542990462,1
Ayuko SUZUKI,1500.0011498612535,1
Sarah LAHTI,1499.48093046402,1
Belaynesh OLJIRA,1499.366880599234,1
Diane NUKURI,1498.974211586023,1
Sara MOREIRA,1498.4609658519516,1
Shitaye ESHETE,1498.322102190901,1
Joanne PAVEY,1498.2274150478997,1
Kasumi NISHIHARA,1498.2213019933097,1
Jessica MARTIN,1497.9185011134693,1
Kate AVERY,1497.7836211404292,1
Mercyline CHELANGAT,1497.6059661267223,1
Alexi PAPPAS,1497.6047037582848,1
Juliet CHEKWEL,1497.3608845209942,1
Dera DIDA,1496.972974668627,1
Dulce FÉLIX,1496.9014027257258,1
Hanami SEKINE,1496.8774698870561,1
Dominique SCOTT,1496.6182524436572,1
Desi Jisa MOKONIN,1496.3445409640972,1
Almenesh BELETE,1496.31632053345,1
Alia SAEED MOHAMMED,1496.1770715462512,1
Rei OHARA,1495.9098050262564,1
Yuka TAKASHIMA,1494.5885537511983,2
Mizuki MATSUDA,1494.5543310265432,1
Veronica INGLESE,1494.4487478833253,1
Nazret WELDU,1494.1421553935795,1
Rachel CLIFF,1494.135361371483,1
Tatiele Roberta DE CARVALHO,1494.0863390260722,1
Jip VASTENBURG,1493.9423979129788,2
Eloise WELLINGS,1493.8559486828894,2
Lanni MARCHANT,1493.3412592126401,2
Marielle HALL,1493.0501376129284,1
Failuna MATANGA,1492.9850381257293,1
Darya MASLOVA,1492.8882405525837,2
Trihas GEBRE,1492.6631032521645,2
Miyuki UEHARA,1492.5190417962508,1
Brenda FLORES,1491.8834818204027,2
Sitora KHAMIDOVA,1491.569816334195,2
Madeleine HILLS,1491.5025828339667,1
Charlotte TAYLOR,1490.8912227984943,1
Marisol ROMERO ROSALES,1490.4151353693078,1
Natasha WODAK,1489.5845098897587,3
Margarita HERNANDEZ FLORES,1489.1879418470487,1
Salomé NYIRARUKUNDO,1487.9689213649062,2
Camille BUSCOMB,1487.781340636,1
Elizabeth POTTER,1487.0970630785737,2
Salomé ROCHA,1486.217527031577,2
Carmen Patricia MARTINEZ AGUILAR,1484.9172993959357,1
