Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Priscilla SCHLIEP,1597.045041886246,11,2010,CAN,26-Aug-82
Lolo JONES,1562.7036809359029,10,2010,USA,5-Aug-82
Sally PEARSON,1541.9373036388167,6,2010,AUS,19-Sep-86
Perdita FELICIEN,1513.3091005376407,10,2010,CAN,29-Aug-80
Queen HARRISON,1509.3741909716564,5,2010,USA,10-Sep-88
Carolin DIETRICH,1508.5210978880227,3,2010,GER,26-Feb-85
Eline BERINGS,1506.1133170000371,1,2010,BEL,28-May-86
Virginia CRAWFORD,1505.0736774720262,5,2010,USA,7-Sep-83
Lisa URECH,1501.138173916751,1,2010,SUI,27-Jul-89
Danielle CARRUTHERS,1500.5080922801442,8,2010,USA,22-Dec-79
Marie HAGLE,1497.8374045535784,1,2010,NOR,17-Feb-87
Tatyana DEMENTYEVA,1496.8913730140814,1,2010,RUS,8-May-81
Nevin YANIT,1496.0595438048795,1,2010,TUR,16-Feb-86
Isabelle PEDERSEN,1495.7900308895546,1,2010,NOR,27-Jan-92
Susanna KALLUR,1494.2777201716817,1,2010,SWE,16-Feb-81
Tale ØRVING,1494.0177109914987,1,2010,NOR,17-Mar-89
Vonette DIXON,1493.912642012417,4,2010,JAM,26-Nov-75
Aleesha BARBER,1492.176291971265,1,2010,TTO,16-May-87
Dawn HARPER-NELSON,1492.1431541513462,1,2010,USA,13-May-84
Kine AALTVEDT,1492.0634228971585,1,2010,NOR,30-Aug-91
Derval O'ROURKE,1490.0163691772827,2,2010,IRL,28-May-81
Elisabeth DAVIN,1489.786233794171,1,2010,BEL,3-Jun-81
Nichole DENBY,1489.5754878761732,2,2010,USA,10-Oct-82
Nadine HILDEBRAND,1489.484669516776,1,2010,GER,20-Sep-87
Tine Teigene DALEN,1488.8406156322762,1,2010,NOR,2-Nov-90
Angelita BROADBELT-BLAKE,1488.7332685132887,1,2010,GBR,12-Sep-85
Anay TEJEDA,1488.5791743598872,1,2010,CUB,3-Apr-83
Gemma BENNETT,1488.1853968571845,1,2010,GBR,4-Jan-84
Delloreen ENNIS,1485.2590699248858,6,2010,JAM,5-Mar-75
Tiffany PORTER,1485.2394468269945,6,2010,USA,13-Nov-87
Yevheniya SNIHUR,1484.5482196321564,3,2010,UKR,7-Mar-84
Louise HAZEL,1483.1698447141282,2,2010,GBR,6-Oct-85
Christina VUKICEVIC,1479.07951771326,6,2010,NOR,18-Jun-87
Kellie WELLS,1478.6097144768296,3,2010,USA,16-Jul-82
