Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Milcah CHEMOS,1592.8224575544286,7,2010,KEN,24-Feb-86
Yuliya ZARIPOVA,1540.4523191588403,2,2010,RUS,26-Apr-86
Sofia ASSEFA,1539.7627581505174,7,2010,ETH,14-Nov-87
Gladys Jerotich KIPKEMOI,1526.1552918191464,5,2010,KEN,15-Oct-86
Lydia Chebet ROTICH,1514.285689607747,6,2010,KEN,8-Aug-88
Almaz AYANA,1501.1734390809163,2,2010,ETH,21-Nov-91
Mekdes BEKELE,1500.1264008743217,1,2010,ETH,20-Jan-87
Wioletta FRANKIEWICZ,1498.6346035999811,2,2010,POL,9-Jun-77
Mercy Wanjiku NJOROGE,1498.0148579258146,3,2010,KEN,10-Jun-86
Barbara PARKER,1497.3686182447457,1,2010,GBR,8-Nov-82
Hatti ARCHER,1494.9359152673605,1,2010,GBR,2-Feb-82
Nicole BUSH,1494.1087558941558,1,2010,USA,4-Apr-86
Tina BROWN,1493.8684367070903,1,2010,GBR,22-Aug-76
Shayla HOULIHAN,1492.3673639317356,1,2010,USA,26-Feb-85
Ulrika FLODIN,1492.1616548761695,1,2010,SWE,9-Feb-75
Birtukan ADAMU,1491.8376887530749,2,2010,ETH,29-Apr-92
Sophie DUARTE,1490.5977039819563,2,2010,FRA,31-Jul-81
Zenaide VIEIRA,1489.712113380347,1,2010,BRA,25-Jun-85
Sandra ERIKSSON,1489.6269197353809,1,2010,FIN,4-Jun-89
Kara JUNE,1489.342366677542,1,2010,USA,10-Aug-82
Ancuţa BOBOCEL,1486.4975975548532,3,2010,ROU,3-Oct-87
Elizabeth MUENI,1485.4160341354573,2,2010,KEN,28-Dec-91
Helen CLITHEROE,1485.3025957372079,2,2010,GBR,2-Jan-74
Lisa AGUILERA,1484.2670136184422,5,2010,USA,30-Nov-79
Katarzyna KOWALSKA,1483.9992794918835,6,2010,POL,7-Apr-85
Bridget FRANEK,1483.9481999204813,3,2010,USA,8-Nov-87
Korene HINDS,1482.3144139235965,3,2010,JAM,18-Jan-76
Karoline Bjerkeli GRØVDAL,1480.8995103968064,3,2010,NOR,14-Jun-90
