Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Tirunesh DIBABA,1575.4115603940104,3,2010,ETH,1-Oct-85
Vivian Jepkemoi CHERUIYOT,1564.5275339446218,3,2010,KEN,11-Sep-83
Sentayehu EJIGU,1542.4196933124533,5,2010,ETH,28-Jun-85
Linet Chepkwemoi MASAI,1522.1804462132814,3,2010,KEN,5-Dec-89
Meseret DEFAR,1521.8764522466795,1,2010,ETH,19-Nov-83
Shalane FLANAGAN,1510.6809917764188,1,2010,USA,8-Jul-81
Sally KIPYEGO,1510.519501024433,4,2010,KEN,19-Dec-85
Elvan ABEYLEGESSE,1505.8233879673776,2,2010,TUR,11-Sep-82
Sule UTURA,1502.9200942940452,3,2010,ETH,8-Feb-90
Emebet ANTENEH,1502.1743909541137,3,2010,ETH,13-Jan-92
Meselech MELKAMU,1501.9337667721384,3,2010,ETH,19-Apr-85
Pauline Chemning KORIKWIANG,1498.0146159476421,3,2010,KEN,1-Mar-88
Amy YODER BEGLEY,1497.8593311378588,2,2010,USA,11-Jan-78
Wude AYALEW,1497.6192831904482,1,2010,ETH,4-Jul-87
Jessica AUGUSTO,1496.7068226956671,2,2010,POR,8-Nov-81
Ines CHENONGE,1496.4934631993126,2,2010,KEN,1-Feb-82
Viola Jelagat KIBIWOT,1496.174478883986,1,2010,KEN,22-Dec-83
Sylvia Jebiwot KIBET,1495.9067121262115,3,2010,KEN,28-Mar-84
Lisa UHL,1495.1692111463594,1,2010,USA,31-Aug-87
Aheza KIROS,1494.8415547810719,1,2010,ETH,16-Oct-85
Genet YALEW,1494.4815287193437,1,2010,ETH,31-Dec-92
Belaynesh OLJIRA,1494.4443087062655,1,2010,ETH,26-Jun-90
Megan WRIGHT,1493.9162525707675,2,2010,CAN,27-Jan-82
Stephanie TWELL,1493.8581894227154,1,2010,GBR,17-Aug-89
Joanne PAVEY,1493.5833511447104,1,2010,GBR,20-Sep-73
Freya MURRAY,1492.5276916458129,1,2010,GBR,20-Sep-83
Gladys CHEMWENO,1492.3947776673945,1,2010,KEN,4-Jul-88
Renee BAILLIE,1492.1573529558054,1,2010,USA,25-Dec-81
Shitaye ESHETE,1492.0211711243119,1,2010,BRN,21-May-90
Margaret Wangari MURIUKI,1491.3849436420899,3,2010,KEN,21-Mar-86
Emily PIDGEON,1490.302602430159,1,2010,GBR,1-Jun-89
René KALMER,1490.132610341686,1,2010,RSA,3-Nov-80
Molly HUDDLE,1489.9473112464052,3,2010,USA,31-Aug-84
Esther CHEMTAI,1489.878044502393,1,2010,KEN,4-Jun-88
Ferhiwot GOSHU,1489.7669335191586,1,2010,ETH,28-Jun-90
Amy CRAGG,1489.6305636984475,1,2010,USA,21-Jan-84
Lauren FLESHMAN,1489.3869592924084,2,2010,USA,26-Sep-81
Desiree DAVILA,1488.7170494978084,2,2010,USA,26-Jul-83
Alice Aprot NAWOWUNA,1488.466892458073,2,2010,KEN,2-Jan-94
Mercy CHERONO,1487.9974791554778,3,2010,KEN,7-May-91
Florence KIPLAGAT,1485.9690461400055,3,2010,KEN,27-Feb-87
Eloise WELLINGS,1482.1283043488274,2,2010,AUS,9-Nov-82
Jennifer RHINES,1477.6533437618014,3,2010,USA,1-Jul-74
